I ^vm+i0+00++++i+
ANDRÉS ^n+prop+++++andrés+
HURTADO ^n+prop++++??+hurtado+
COMIENZA ^vm+ip+3s++++comenzar+
LA ^lfs+def+++++la+
CARRERA ^n+prop+++++carrera+
SERÍAN ^vm+c+3p++++ser+
las ^lfp+def+++++la+
diez ^mcp+card++++!!+diez+
de ^en++++++de+
la ^lfs+def+++++la+
mañana ^nfs+com++++!!+mañana+
de ^en++++++de+
un ^lms+ind+++++un+
día ^nms+com+++++día+
de ^en++++++de+
octubre ^nms+com+++++octubre+
. ^punc+sent+.+++++
En ^en++++++en+
el ^lms+def+++++el+
patio ^nms+com+++++patio+
de ^en++++++de+
la ^lfs+def+++++la+
Escuela ^n+prop+++++escuela+
de ^en++++++de+
Arquitectura ^n+prop+++++arquitectura+
, ^punc++,+++++
grupos ^nmp+com+++++grupo+
de ^en++++++de+
estudiantes ^ncp+com++++!!+estudiante+
esperaban ^vm+ii+3p++++esperar+
a ^en++++++a+
que ^que+relat++++!!+que+
se ^p3cn+per++mtz+++él+
abriera ^vm+si+?s++++abrir+
la ^lfs+def+++++la+
clase ^nfs+com+++++clase+
. ^punc+sent+.+++++
De ^en++++++de+
la ^lfs+def+++++la+
puerta ^nfs+com+++++puerta+
de ^en++++++de+
la ^lfs+def+++++la+
calle ^nfs+com+++++calle+
de ^en++++++de+
los ^lmp+def+++++el+
Estudios ^n+prop+++++estudios+
que ^que+relat++++!!+que+
daba ^vm+ii+?s++++dar+
a ^en++++++a+
este ^d3ms+dem++++!!+este+
patio ^nms+com+++++patio+
, ^punc++,+++++
iban ^vm+ii+3p++++ir+
entrando ^vm+pp+00++++entrar+
muchachos ^nmp+com+++++muchacho+
jóvenes ^jmp+++++!!+joven+
que ^que+relat++++!!+que+
, ^punc++,+++++
a ^en++++++a+
'l ^lms+def+++++el+
encontrar ^vm+n0+00++++encontrar+
se ^p3cn+per++++clt++
reunidos ^vm+ps+0p++++reunir+
, ^punc++,+++++
se ^p3cn+per++psv+por++él+
saludaban ^vm+ii+3p++++saludar+
, ^punc++,+++++
reían ^vm+ii+3p++++reír+
y ^con+coor+++++y+
hablaban ^vm+ii+3p++++hablar+
. ^punc+sent+.+++++
Por ^en++++++por+
una ^lfs+ind+++++un+
de ^en++++++de+
estas ^d3fp+dem++++!!+este+
anomalías ^nfp+com+++++anomalía+
clásicas ^jfp+++++!!+clásico+
de ^en++++++de+
España ^n+prop+++++españa+
, ^punc++,+++++
aquellos ^d3mp+dem++++!!+aquel+
estudiantes ^ncp+com++++!!+estudiante+
que ^que+relat++++!!+que+
esperaban ^vm+ii+3p++++esperar+
en ^en++++++en+
el ^lms+def+++++el+
patio ^nms+com+++++patio+
de ^en++++++de+
la ^lfs+def+++++la+
Escuela ^n+prop+++++escuela+
de ^en++++++de+
Arquitectura ^n+prop+++++arquitectura+
, ^punc++,+++++
no ^r++++++no+
eran ^vm+ii+3p++++ser+
arquitectos ^nmp+com+++++arquitecto+
de ^en++++++de+
'l ^lms+def+++++el+
porvenir ^nms+com+++++porvenir+
, ^punc++,+++++
sino ^con+coor+++++sino+
futuros ^nmp+com++++!!+futuro+
médicos ^jmp+++++!!+médico+
y ^con+coor+++++y+
farmacéuticos ^nmp+com++++!!+farmacéutico+
. ^punc+sent+.+++++
La ^lfs+def+++++la+
clase ^nfs+com+++++clase+
de ^en++++++de+
Química ^n+prop++++!!+química+
general ^jcs+++++!!+general+
de ^en++++++de+
'l ^lms+def+++++el+
año ^nms+com+++++año+
preparatorio ^jms++++++preparatorio+
de ^en++++++de+
Medicina ^n+prop++++!!+medicina+
y ^con+coor+++++y+
Farmacia ^n+prop++++!!+farmacia+
se ^p3cn+per++psv+++él+
daba ^vm+ii+?s++++dar+
en ^en++++++en+
esta ^d3fs+dem++++!!+este+
época ^nfs+com++++!!+época+
en ^en++++++en+
una ^lfs+ind+++++un+
antigua ^jfs++++++antiguo+
capilla ^nfs+com+++++capilla+
de ^en++++++de+
'l ^lms+def+++++el+
Instituto ^n+prop++++!!+instituto+
de ^en++++++de+
San ^jms+++++!!+san+
Isidro ^n+prop++++!!+isidro+
convertida ^vm+ps+0s+pstn+++convertir+
en ^en++++++en+
clase ^nfs+com+++++clase+
, ^punc++,+++++
y ^con+coor+++++y+
ésta ^p3fs+dem+++++ésta+
tenía ^vm+ii+?s++++tener+
su ^d3cs+pos+++++su+
entrada ^nfs+com++++!!+entrada+
por ^en++++++por+
la ^lfs+def+++++la+
Escuela ^n+prop+++++escuela+
de ^en++++++de+
Arquitectura ^n+prop+++++arquitectura+
. ^punc+sent+.+++++
La ^lfs+def+++++la+
cantidad ^nfs+com+++++cantidad+
de ^en++++++de+
estudiantes ^ncp+com++++!!+estudiante+
y ^con+coor+++++y+
la ^lfs+def+++++la+
impaciencia ^nfs+com+++++impaciencia+
que ^que+relat++++!!+que+
demostraban ^vm+ii+3p++++demostrar+
por ^en++++++por+
