I ^vm+i0+00++++_indicat_+i+
ANDR√âS ^n+prop+++++_propn_+andr„©s+
HURTADO ^n+prop++++??+_propn_+hurtado+
COMIENZA ^vm+ip+3s++++_indicat_present_+comenzar+
LA ^lfs+def+++++_defart_+la+
CARRERA ^n+prop+++++_propn_+carrera+
SER√çAN ^vm+c+3p++++_condit_mvser_vexist_+ser+
las ^lfp+def+++++_defart_+la+
diez ^mcp+card++++!!++diez+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
ma√±ana ^nfs+com++++!!+_singn_+ma„±ana+
de ^en++++++_1wrdprep_+de+
un ^lms+ind+++++_indefart_+un+
d√≠a ^nms+com+++++_singn_+d„≠a+
de ^en++++++_1wrdprep_+de+
octubre ^nms+com+++++_nodetnp_singn_+octubre+
. ^punc+sent+.++++++
En ^en++++++_1wrdprep_+en+
el ^lms+def+++++_defart_+el+
patio ^nms+com+++++_singn_+patio+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
Escuela ^n+prop+++++_propn_+escuela+
de ^en++++++_1wrdprep_+de+
Arquitectura ^n+prop+++++_propn_+arquitectura+
, ^punc++,++++++
grupos ^nmp+com+++++_nodetnp_plurn_+grupo+
de ^en++++++_1wrdprep_+de+
estudiantes ^ncp+com++++!!+_nodetnp_plurn_+estudiante+
esperaban ^vm+ii+3p++++_indicat_imperf_vdes_+esperar+
a ^en++++++_1wrdprep_+a+
que ^que+vcomp++++!!+_subjvcompque_vcompque_+que+
se ^p3cn+per++mtz++++„©l+
abriera ^vm+si+?s++++_subjun_imperf_+abrir+
la ^lfs+def+++++_defart_+la+
clase ^nfs+com+++++_singn_+clase+
. ^punc+sent+.++++++
De ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
puerta ^nfs+com+++++_singn_+puerta+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
calle ^nfs+com+++++_singn_+calle+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
Estudios ^n+prop+++++_propn_+estudios+
que ^que+rel++++!!+_indquerel_relproque_+que+
daba ^vm+ii+?s++++_indicat_imperf_+dar+
a ^en++++++_1wrdprep_+a+
este ^d3ms+dem++++!!+_predem_+este+
patio ^nms+com+++++_singn_+patio+
, ^punc++,++++++
iban ^vm+ii+3p++++_indicat_imperf_+ir+
entrando ^vm+pp+00++++_present_vmprespart_+entrar+
muchachos ^nmp+com+++++_nodetnp_plurn_+muchacho+
j√≥venes ^jmp+++++!!+_postadj_timej_+joven+
que ^que+rel++++!!+_relproque_+que+
, ^punc++,++++++
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
encontrar ^vm+n0+00++++_infnoun_vment_+encontrar+
se ^p3cn+per++++clt+_justse_clitic_++
reunidos ^vm+ps+0p++++_otherpp_+reunir+
