>>Filename:written_encyc_art_Arte y arquitectura africanas.txt
>>Mode:written
>>Register:encyclopedia
>>End header
761574805 ^n+++++??+_nodetnp_++
] ^punc++]++++++
I ^vm+i0+00++++_indicat_+i+
. ^punc+sent+.++++++
INTRODUCCIÓN ^n+++++!!+_nodetnp_++
Arte ^n+prop+++++_propn_+arte+
y ^con+coor+++++_gensingcon_+y+
arquitectura ^nfs+com+++++_nodetnp_singn_+arquitectura+
africanas ^jfp++++++_postadj_+africano+
, ^punc++,++++++
conjunto ^nms+com++++!!+_nodetnp_singn_+conjunto+
de ^en++++++_1wrdprep_+de+
manifestaciones ^nfp+com+++++_nodetnp_plurn_derivn_+manifestación+
artísticas ^jfp++++++_postadj_+artístico+
producidas ^vm+ps+0p++++_preter_+producir+
por ^en++++++_1wrdprep_+por+
los ^lmp+def+++++_defart_+el+
pueblos ^nmp+com+++++_plurn_+pueblo+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
África ^jfs+++++++áfrico+
subsahariana ^jfs+++++++subsahariano+
a ^en++++++_mltwrdprep_+a+
lo ^en"+++++++él+
largo ^en"+++++++largo+
de ^en"+++++++de+
la ^lfs+def+++++_defart_+la+
historia ^nfs+com++++!!+_singn_+historia+
. ^punc+sent+.++++++
El ^lms+def+++++_defart_+el+
continente ^nms+com++++!!+_singn_+continente+
africano ^jms+++++!!+_postadj_+africano+
acoge ^vm+ip+3s++++_indicat_present_+acoger+
una ^lfs+ind+++++_indefart_+un+
gran ^jcs++++++_preadj_+gran+
variedad ^nfs+com+++++_singn_derivn_+variedad+
de ^en++++++_1wrdprep_+de+
culturas ^nfp+com+++++_nodetnp_plurn_+cultura+
, ^punc++,++++++
caracterizadas ^vm+ps+0p+pstn+++_preter_+caracterizar+
cada ^d0cs+ind+++++_quant_+cada+
una ^lfs+ind+++++_lode_indefart_+un+
de ^en++++++_1wrdprep_+de+
ellas ^p3fp+per+++++_3pro_+ella+
por ^en++++++_1wrdprep_+por+
un ^lms+ind+++++_indefart_+un+
idioma ^nms+com+++++_singn_+idioma+
propio ^jms+++++!!+_postadj_+propio+
, ^punc++,++++++
unas ^lfp+ind+++++_indefart_+un+
tradiciones ^nfp+com+++++_plurn_derivn_+tradición+
y ^con+coor+++++_gensingcon_+y+
unas ^lfp+ind+++++_indefart_+un+
formas ^nfp+com+++++_plurn_+forma+
artísticas ^jfp++++++_postadj_preadj_+artístico+
características ^nfp+com++++!!+_nodetnp_plurn_+característica+
. ^punc+sent+.++++++
Aunque ^con+sub+++++_othsingcon_+aunque+
la ^lfs+def+++++_defart_+la+
gran ^jcs++++++_preadj_+gran+
extensión ^nfs+com+++++_singn_derivn_+extensión+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
desierto ^nms+com++++!!+_singn_+desierto+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
Sahara ^n+prop+++++_propn_+sahara+
actúa ^vm+ip+3s++++_indicat_present_+actuar+
como ^con+sub++++!!+_othsingcon_+como+
barrera ^nfs+com++++!!+_nodetnp_singn_+barrera+
divisoria ^jfs+++++!!+_postadj_preadj_+divisorio+
natural ^nms+com++++!!+_nodetnp_singn_+natural+
entre ^en++++++_1wrdprep_+entre+
el ^lms+def+++++_defart_+el+
norte ^nms+com++++!!+_singn_+norte+
de ^en++++++_1wrdprep_+de+
África ^jfs+++++++áfrico+
y ^con+coor+++++_gensingcon_+y+
el ^lms+def+++++_defart_+el+
resto ^nms+com+++++_singn_+resto+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
continente ^nms+com++++!!+_singn_+continente+
, ^punc++,++++++
hay ^vm+ip+3s++++_indicat_present_exhaber_+haber+
considerables ^jcp++++++_preadj_+considerable+
evidencias ^nfp+com+++++_nodetnp_plurn_derivn_+evidencia+
que ^que+relat++++!!+_relproque_+que+
confirman ^vm+ip+3p++++_indicat_present_vcommun_+confirmar+
toda ^d3fs+ind+++++_quant_+todo+
una ^lfs+ind+++++_indefart_+un+
serie ^nfs+com+++++_singn_+serie+
de ^en++++++_1wrdprep_+de+
influencias ^nfp+com+++++_nodetnp_plurn_derivn_+influencia+
entre ^en++++++_1wrdprep_+entre+
ambas ^d3fp+ind++++!!+_quant_+ambas+
zonas ^nfp+com+++++_plurn_+zona+
a ^en++++++_mltwrdprep_+a+
través ^en"+++++++través+
de ^en"+++++++de+
las ^lfp+def+++++_defart_+la+
rutas ^nfp+com+++++_plurn_+ruta+
comerciales ^jcp++++++_postadj_+comercial+
que ^que+relat++++!!+_relproque_+que+
atravesaron ^vm+is+3p++++_indicat_preter_+atravesar+
África ^jfs+++++++áfrico+
desde ^en++++++_1wrdprep_+desde+
tiempos ^nmp+com+++++_nodetnp_plurn_+tiempo+
remotos ^jmp++++++_postadj_+remoto+
. ^punc+sent+.++++++
Hoy ^r++++++_rbtime_+hoy+
, ^punc++,++++++
por ^r++++++_rbother_+por+
ejemplo ^r"+++++++ejemplo+
, ^punc++,++++++
aparecen ^vm+ip+3p++++_indicat_present_+aparecer+
entre ^en++++++_1wrdprep_+entre+
las ^lfp+def+++++_defart_+la+
culturas ^nfp+com+++++_plurn_+cultura+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
sur ^nms+com++++!!+_singn_+sur+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
Sahara ^n+prop+++++_propn_+sahara+
muchas ^d0fp+ind++++!!+_quant_+mucho+
muestras ^nfp+com++++!!+_plurn_+muestra+
de ^en++++++_1wrdprep_+de+
arte ^nms+com+++++_nodetnp_singn_+arte+
islámico ^jms++++++_postadj_+islámico+
, ^punc++,++++++
así ^r++++++_rbmannr_+así+
como ^con+sub++++!!+_othsingcon_+como+
también ^r++++++_rbother_+también+
formas ^nfp+com+++++_nodetnp_plurn_+forma+
arquitectónicas ^jfp++++++_postadj_+arquitectónico+
de ^en++++++_1wrdprep_+de+
inspiración ^nfs+com+++++_nodetnp_singn_derivn_+inspiración+
norteafricana ^n+++++??+_nodetnp_++
. ^punc+sent+.++++++
Además ^r++++++_rbother_+además+
, ^punc++,++++++
las ^lfp+def+++++_defart_+la+
investigaciones ^nfp+com+++++_plurn_derivn_+investigación+
apuntan ^vm+ip+3p++++_indicat_present_+apuntar+
a ^en++++++_1wrdprep_+a+
una ^lfs+ind+++++_indefart_+un+
influencia ^nfs+com+++++_singn_derivn_+influencia+
recíproca ^jfs++++++_postadj_+recíproco+
entre ^en++++++_1wrdprep_+entre+
estas ^d3fp+dem++++!!+_predem_+este+
zonas ^nfp+com+++++_plurn_+zona+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
sur ^nms+com++++!!+_singn_+sur+
con ^en++++++_1wrdprep_+con+
las ^lfp+def+++++_defart_+la+
tradiciones ^nfp+com+++++_plurn_derivn_+tradición+
artísticas ^jfp++++++_postadj_+artístico+
y ^con+coor+++++_gensingcon_+y+
culturales ^jcp+++++++cultural+
de ^en++++++_1wrdprep_+de+
aquellas ^d3fp+dem++++!!+_predem_+aquel+
regiones ^nfp+com+++++_plurn_derivn_+región+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
norte ^nms+com++++!!+_singn_+norte+
de ^en++++++_1wrdprep_+de+
África ^jfs+++++++áfrico+
más ^r++++++_rbother_+más+
cerradas ^jfp+++++!!++cerrado+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
Mediterráneo ^n+prop++++!!+_propn_+mediterráneo+
. ^punc+sent+.++++++
El ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
de ^en++++++_1wrdprep_+de+
Egipto ^n+prop+++++_propn_+egipto+
, ^punc++,++++++
uno ^p0ms+ind++++++uno+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
más ^r++++++_rbother_+más+
brillantes ^jcp+++++!!++brillante+
de ^en++++++_1wrdprep_+de+
África ^jfs+++++++áfrico+
, ^punc++,++++++
tiene ^vm+ip+3s++++_indicat_present_+tener+
importantes ^jcp++++++_preadj_+importante+
conexiones ^nfp+com+++++_nodetnp_plurn_derivn_+conexión+
